date	review	rating	userName	title
2019-09-21 20:35:09	Great podcast with great hosts!	5	SCB24111998	Really good!
2023-10-26 06:58:36	This is cool.⭕️👈	5	Ryan6D	Sirbdks d fhenbdnf
2023-08-23 07:00:47	Listening from Australia. Really enjoy listening to your show. Lots of open honest info. Great guests as well. Keep up the great work.	5	Camseyebrow	Informative
2023-07-13 08:03:42	Hi, I can’t tell you how much I love your podcasts. Learning so much, can’t thank you enough. Love from Australia🇦🇺xx	5	Ashes Winner	Thanks for your amazing work!
2022-08-24 06:19:51	"Thanks ladies, and guests. Still catching up on episodes but I love the humour, facts and stripped back nature of the podcast. The chemistry between Amy and April is amazing, and demonstrates independent, confident, intellectual and wonderful humans working to empower others with knowledge to feel free, unashamed and boost self confidence. 
From Australia, thank you, keep up the good work 👍🤓🇦🇺"	5	Ya gotta get this	Honest, Shameless, Fun
2022-07-06 01:38:32	Beautiful advise from beautiful people. Thank you	5	Fernscapes Gardening	Informative
2022-05-20 08:20:51	This podcast is just what the doctor ordered, love listening to Amy and April and their guests. So much great advice 👌🥰	5	Emmrexy	OMG
2022-02-11 01:55:12	😄	5	Swag_Man1	😀🙈
2022-01-23 10:38:50	I have been in a sexless relationship for 20 years. Listening to this podcast has encouraged me to take control of my sexuality, leave my marriage, and become involved with someone who cherishes a sexual relationship just as much as I do. This podcast has changed my life.	5	CathWife	Mind blowing.
2021-12-07 12:26:16	"Thank you both so much for this amazing podcast. I’m completely obsessed. Love the fun informative chats and the wide range of topics. There’s not an episode I’ve not taken something from. 
Please keep doing what you’re doing."	5	Bianca-J	Omg yess!!!
2022-01-01 05:46:10	You two spend way too much time talking about garbage before you start talking about the topic!!!! Very annoying	1	Macca12335	Prostrate
2021-10-18 00:28:42	Awesome podcast girls.🙌 Covering wide range of subjects, reviews and guests. So much fun 🤙. Keep it up 😁	5	Lovin it from Oz	Great podcast
2021-02-15 02:01:17	"I’ve never been more proud and confident to express myself sexually both and in the bedroom and carry the energy out of it to assist in the entire flow of my life.. 
You ladies are amazing and work so well together, keep creating 🌸💕"	5	SimplyMeCrystalMarie	Beautiful Souls
2021-02-13 00:04:32	So much fun!	5	HawthornMagick	Love this podcast , funny and informative!
2020-07-03 06:27:57	I have been listening to this podcast for over a year now!! It has taught me SO MUCH and even got me through my own sexual Traumas and made me the extremely sexual person I am today as well as helped in my relationship by bringing some truths and explanations in from real people!	5	hdhdnfjsbdbensksnf fbx	AMAZING
2019-11-27 02:14:46	I have been listening to your podcast ever since it started and love the work you do	5	uzee09	thanks
2019-04-30 06:26:31	What a great open discussion format. I realised in the first episode where I need to adjust and improve myself so thank you.	5	The Bushy	B
2019-03-17 17:19:03	"I listen to you ladies every day when I’m cooking to just chill and zone in, and of course my own glass of red in hand!
All of your episodes are fantastic and relatable and also such good advice/ stories!! I take it all onboard and has changed my life for the better!! 
Coming through from the UK, keep going! xo"	5	Sdawwgggg,,	Inspirational! ❤️
2019-02-05 03:03:14	I’m a mum in my mid-thirties having a sexual awakening and these girls are the BOMB! I’m learning SO much and have become addicted to their podcasts.	5	DouCrush	Get it in you!
2018-10-07 09:32:14	"I love these ladies. Free speaking and inspirational.
Listening to this podcast has changed my life and outlook 💕
I’m not looking forward to running out of episodes!
Great work ✌🏼"	5	sdhey75	A must listen
2018-07-02 04:34:57	"Thank-you lonely ladies for bringing so much to my life! 
I recommend you to all my girlfriends
And I look forward to your podcast each week! Please come to Brisbane Australia so I can meet you both gorgeous creatures someday!
X"	5	kellylouise_	So important!
2017-12-02 20:32:56	"Bless these two girls. 

They have an acute ability to help empower you if you're lost to the negatives that sexual trauma brings to your life. 

They help educate you and give you some of the tools needed in order to better yourselves in life and in the bedroom.

Listen, take note and hopefully see some positive changes yourself. 

Good work girls. All the love and power to you both. 🙏🏽

Matt"	5	Matt Bondi	Educational, Therapeutic & Knowledgeable
2017-07-25 07:25:13	Want an open and honest conversation about how, where, why, what with, who with or how many with... this is the place. Stripped bare with humorous. I'm hooked!	5	Nkl01	Open and Honest
2022-12-12 14:27:45	Very informative information for sex growth! I think podcast can do really well it the audio is improved; can hear background noises and static.	4	angieekinss	Informative but audio needs work
2023-10-25 12:42:57	👁️🫀🍽️🪒🦫	5	Van_Isle_trucker	Lovin it
2023-07-19 23:22:43	Shameless Sex is a fantastic podcast. With a wide variety of topics, this podcast is a fantastic resource to expand your knowledge of sexuality. With great guests and an easy to listen to format, this is one of my fave sexuality podcasts. Highly recommend!	5	Walkietalkie000	Shameless Sex is Superb!
2023-03-14 22:26:35	I’m a 24 year-old cis-female, and I’ve been listening to you guys for 2 years now from Toronto, Canada! <3 The variety of topics you’ve explored on this show has really educated me and has inspired me to approach sexuality in a down-to-earth way. Instead of viewing sex as a performance (the way it’s portrayed in porn and even in Hollywood movies lol), I’m now focused on doing things that make my body feel good and prioritizing communicating with my partner and working together to make each other feel good. Your sense of humour also brightens my day, you guys are hilarious and it’s very appreciated 😂💗 thank you for everything!!	5	cheyenne.tasha	Super helpful
2023-02-16 22:54:02	I’ve been listening for at least a year, and I always walk away with some useful information or thought-provoking ideas - even when I’m not really into the topic discussed. Thanks you girls for making us better partners!	5	real-scientist	always something to learn
2022-12-20 14:54:02	Always interesting and informative. Thanks ladies!!	5	B.NicklMac	Love the show!
2022-09-23 04:44:49	A&A bring a welcomed reset to the way society thinks and talks about sex. This pod is a place where sex is much more than politely tolerated (current status quo) to being something we celebrate. All view points are welcome here. No judgment. Totally shame-less.	4	Uninvent	Valuable resource.
2022-10-07 19:10:36	They bring on a variety of guests to help all areas of sexual health and well-being. They have helped expand my vocabulary and knowledge about sex and have told me about products, resources, and ways to expand my own knowledge and tap into what I’M into. 100% judgement free and open enough that you don’t feel shy or embarrassed listening to it like some other podcasts I know.	5	CaseAMS	Best Sex Advice
2022-06-23 06:38:39	"Let me just say…..since I started listening to your podcast I realised my sex life have been so dull all these years because I was so afraid that I would be sex shamed. NOT ANYMORE!! I have started to explore more things sexually, pleasing myself even more and added to that taking care of my sexual health overall.

Thank you ladies. I have learned so much. Been reading a lot of the books you recommended too. 

Btw I am listen from the beautiful island of St. Vincent and the Grenadines. 

Cheers
T"	4	Terri784	From boring sex to the best sex EVERR!!
2022-08-07 12:55:56	This podcast is honest, with new and current best practices for shameless sex! So informative, and blunt ! I love listening! Very inclusive and hilarious at times ! Five stars !	5	fertilitygirl	Fantastic Sex Advice !
2022-06-03 12:38:06	I’ve been listening to the show for a few months now and have been learning a lot. I tried to get my gf to listen with me, but she found it to be a bit strange and wasn’t all that into it. Womp womp (sad trombone) But… after we had some fun time in the bedroom this morning she told me that those were the best touches she’s ever received in our 4 years and that I should definitely keep listening! Thank you to you both, and to your knowledgeable, friendly guests. Sex is now a regular topic of conversation in my relationship and with friends!	5	bamboocookie	Thank you!
2022-04-11 22:16:53	🍆💦🍆💦🍆💦	5	vincenzo1	Love this show
2022-03-29 17:16:17	🍆💦🍑	5	Jetjamie	Lovely ladies
2021-12-09 21:34:19	"Hello lovely ladies! The work that you do and the contact you put out is absolutely mind blowing.I have been a loyal listener for about six months now and have shared your podcast with countless friends. As a woman in her 40s, recently separated with a kid, I have found your podcast to be so enlightening. I consider you both my personal mentors for my sexual revolution and journey! Please please please keep up the good work! I look forward to learning more! Thank you for everything you do! 
Alysa in Canada"	5	alysaincanada	Just amazing!!!!
2021-11-17 22:40:42	Thank you!	5	BogdanT-Wpg	Awesome!
2021-10-20 19:30:18	"I have had fun listening to the diverse topics and inclusive approach of “chip and dip,” and I hope more of the world gets to appreciate the normalization and playful encouragement that these girls put out. 

I love the personal stories, including what they are or are not into - sets the stage for healthy boundary discussions, and especially for trying new things, new perspectives, new toys! 

Sex is beautiful, necessary, empowering, fulfilling, and taboo… One of these words does not belong. Pretty sure anyone can figure out which one. This show is helping to remove completely unnecessary and archaic barriers to healthy female and male sexuality. We have enough external problems. Thank you for helping our world deal with the internal ones :)"	5	Ace_mac	This Show Gives Me Hope! Thank you, from a male health provider
2021-11-17 18:46:22	It’s mostly men and women that have sex and might benefit from the advice. But the hosts go to great, awkward lengths to avoid saying words like men or women. That won’t age well but at least they are politically correct… Some episodes are just full-on advertisements with guests that sell sex products and surprise, they recommend their company’s ware when given questions by the hosts.	1	Jaympols	Cringey
2021-09-25 11:46:09	Learning so much on this sex-positive, respectful, fun, informative, not too serious podcast. It has supercharged our sex life and increased how we communicate about everything in the bedroom.	5	JVD1031	Great info and lots of fun!
2021-09-02 01:00:25	Love listening to this show while going on my long walks. Very informative yet so fun!	5	PAB Girl	Fun listening
2021-08-14 21:52:02	Love this show!!	5	arialaarum	So good
2020-03-09 22:28:40	Listening to this pod has made me more curious, confident and understanding. I want my relationship to be the strongest, sexiest and fulfilling relationship in my life, this pod has helped with that. I refuse to let things go stale and shameless sex has helped with that!	4	ABW1212	Killer advice
2021-08-13 01:41:51	Just started listening a few months ago and I’m super impressed with the range of topics you guys tackle and the great energy of your podcast. My BF and I are listening together now and episodes always trigger a lively, open discussion between us.	5	deepthoughts780	Always so interesting and informative!
2021-04-26 19:36:14	I’m not 100% sure what pod cast it was but you mentioned  JRE and how you don’t want to do 3 hr podcasts. I personally think longer podcasts would be great     You kinda owe it to the guest to let them take the proper time needed IMO	5	homegrown in British Columbia	Length ;)
2021-02-24 20:58:34	"Hello Amy and April;
I felt motivated to come and write you a review after seeing your IG post about bad reviews. I can’t fathom what those people are listening to as clearly, it isn’t you! You bring such love and light to all things sexual. Your product reviews are great and I even purchased a few items you've recommended, well done!! As one who grew up in a quasi puritanical home, I absolutely adore your factual, no nonsense approach to every topic. You are trail blazers at smashing stigma and you are spectacular cheerleaders for all things consensual!! Fantastic effort team Shameless, keep it up!!"	5	neuromancer44	Excellent safe and non judgey space!
2021-02-03 02:21:19	Amy & April give really good insight into how to develop proper intimacy, and up your sex game on a broad level. Even if you’re a guy like me, they have topics and themes that will take your sexual mastery to another level	5	Speedyshadowman	Jump on the Shameless sex revolution
2021-01-17 15:57:22	I love listening.	5	esssa19	Sex Positive and educational !!!
2020-10-10 20:43:35	Soaking in the episode about conscious uncoupling - you must listen!!	5	Megan Lockhart -HLA	LOVE episode 129
2020-10-02 18:38:06	Hey if you know anyone who can help me out with some things can you give me a text at 15196087615 thanks	5	sexyness4205$$	I need some help with some things
2020-10-02 05:21:38	"Step right up and receive the sex education you deserve but never received. 
April and Amy are two of the most inclusive, informative and genuine people I’ve ever had the pleasure of listening to. This podcast has not only helped improve my sex life but has also opened my eyes to so many other sexual realms and points of view. I recommend this podcast all the time! 
Thank you April and Amy for jumpstarting the #ShamelessSexRevolution !"	5	LikeAKitten	Life-Changing
2020-06-26 18:20:51	I’m so happy I found this podcast! I am currently going through a divorce and it’s been an incredible resource to help me rediscover my sexual desires, step through some shame I had regarding my kinks, and gain a greater understanding of the diversity in sexuality and relationships. Thanks for always being entertaining, honest and providing quality material, keep up the kickass work.	5	L.Aylard	Favorite All Things Sex Podcast
